SN,latitude,longitude,x,y,species,code,dia_cm,height_m,class
1,27.41360331,85.05797182,308010,3033745,Abies spp,1,87,29,4
2,27.40964846,85.05199522,307412,3033316,Acacia catechu,2,40,26,1
3,27.41043608,85.07011406,309205,3033376,Adina cardifolia,3,51,23,1
4,27.41346978,85.06718004,308920,3033716,Albizia spp,4,45,22,3
5,27.41510095,85.06361336,308570,3033903,Alnus nepalensis,5,86,17,3
6,27.41123737,85.06577657,308778,3033471,Anogeissus latifolia,6,16,26,4
7,27.41519405,85.06068216,308281,3033917,Bombax ceiba,7,31,24,3
8,27.40856971,85.05432451,307641,3033193,Cedrela toona,8,27,18,2
9,27.41270397,85.05831131,308042,3033645,Dalbergia sissoo,9,35,18,1
10,27.41095692,85.07191919,309385,3033431,Eugenia Jambolana,10,36,25,3
11,27.41368698,85.07004604,309204,3033736,Hymenodictyon excelsum,11,89,29,3
12,27.41398411,85.06790791,308993,3033772,Lagerstroemia parviflora,12,93,28,4
13,27.4153535,85.0618044,308392,3033933,Michelia champaca,13,58,22,2
14,27.41502467,85.06323461,308533,3033895,Pinus roxburghii,14,94,26,2
15,27.41250528,85.06439908,308644,3033614,Pinus wallichiana,15,83,29,2
16,27.41138038,85.07091351,309286,3033479,Quercus spp,16,63,25,2
17,27.41124071,85.0587898,308087,3033482,Schima wallichii,17,86,28,1
18,27.41101043,85.06724462,308922,3033444,Shorea robusta,18,72,29,2
19,27.41234653,85.06764589,308964,3033591,Terminalia alata,19,85,17,2
20,27.41017489,85.05564738,307774,3033369,Trewia nudiflora,20,50,25,1
21,27.4118597,85.05841244,308050,3033552,Tsuga spp,21,93,23,4
22,27.41741202,85.06130515,308346,3034162,Terai spp,22,52,30,4
23,27.41455725,85.07066377,309267,3033832,Hill spp,23,79,25,2
24,27.40987779,85.0581424,308020,3033332,Abies spp,1,19,24,3
25,27.4097641,85.05806982,308013,3033320,Acacia catechu,2,79,25,4
26,27.4115373,85.05836037,308045,3033516,Adina cardifolia,3,83,25,3
27,27.40897892,85.05723824,307929,3033234,Albizia spp,4,16,21,2
28,27.41239109,85.05883541,308093,3033610,Alnus nepalensis,5,33,29,2
29,27.40940609,85.06863172,309057,3033264,Anogeissus latifolia,6,29,25,3
30,27.41427473,85.06986176,309187,3033801,Bombax ceiba,7,16,23,1
31,27.4108245,85.06660384,308859,3033424,Cedrela toona,8,98,24,2
32,27.41042426,85.05484974,307696,3033398,Dalbergia sissoo,9,22,23,2
33,27.41696214,85.061754,308390,3034112,Eugenia Jambolana,10,59,25,4
34,27.41702753,85.06085931,308301,3034120,Hymenodictyon excelsum,11,42,30,1
35,27.41689759,85.06240465,308454,3034104,Lagerstroemia parviflora,12,38,20,2
36,27.41243094,85.05934746,308144,3033613,Michelia champaca,13,15,16,3
37,27.41348471,85.06618533,308822,3033720,Pinus roxburghii,14,63,24,4
38,27.41394361,85.06424472,308631,3033773,Pinus wallichiana,15,99,17,2
39,27.41461863,85.0638313,308591,3033849,Quercus spp,16,13,20,3
40,27.41518669,85.06178403,308390,3033915,Schima wallichii,17,82,16,4
41,27.41294394,85.05756391,307968,3033673,Shorea robusta,18,33,30,4
42,27.4094779,85.06563925,308761,3033276,Terminalia alata,19,85,20,3
43,27.41008941,85.05504806,307715,3033361,Trewia nudiflora,20,49,30,4
44,27.41146549,85.07251323,309444,3033486,Tsuga spp,21,63,23,3
45,27.41389826,85.05751422,307965,3033779,Terai spp,22,68,20,1
46,27.41707455,85.05981426,308198,3034127,Hill spp,23,97,23,1
47,27.41466229,85.06995597,309197,3033844,Abies spp,,25,22,4
48,27.4113362,85.06835434,309033,3033478,Acacia catechu,,67,20,4
49,27.40786816,85.06919143,309109,3033093,Adina cardifolia,,80,15,3
50,27.41070774,85.05686536,307895,3033426,Albizia spp,,53,23,3
51,27.40958841,85.06366006,308565,3033292,Alnus nepalensis,,18,22,1
52,27.41191564,85.06422375,308625,3033549,Anogeissus latifolia,,85,30,3
53,27.4146296,85.06495717,308702,3033848,Bombax ceiba,,13,21,1
54,27.41262953,85.06389692,308594,3033628,Cedrela toona,,81,16,2
55,27.41216638,85.07050131,309246,3033567,Abies spp,,82,17,3
56,27.41232817,85.0692927,309127,3033587,Acacia catechu,,64,21,1
57,27.41090383,85.07238179,309430,3033424,Adina cardifolia,,93,30,2
58,27.41047377,85.0653461,308734,3033387,Albizia spp,,33,23,1
59,27.41293256,85.06733148,308934,3033657,Alnus nepalensis,,62,24,3
60,27.41796141,85.06259139,308474,3034221,Anogeissus latifolia,,30,30,2
61,27.41478507,85.06825795,309029,3033860,Bombax ceiba,,74,19,2
62,27.41501852,85.07112078,309313,3033882,Cedrela toona,,74,29,2
63,27.4119862,85.06083132,308290,3033562,Dalbergia sissoo,,77,27,4
64,27.40889362,85.06524025,308721,3033212,Eugenia Jambolana,,19,15,2
65,27.40879978,85.05680681,307886,3033215,Hymenodictyon excelsum,,48,23,3
66,27.41030618,85.05321862,307534,3033387,Lagerstroemia parviflora,,22,20,2
67,27.41231768,85.0686082,309059,3033587,Michelia champaca,,56,22,3
68,27.41024919,85.05508737,307719,3033378,Pinus roxburghii,,99,20,3
69,27.40996352,85.05506291,307716,3033347,Pinus wallichiana,,66,15,2
70,27.41584297,85.06114724,308328,3033989,Quercus spp,,83,24,4
71,27.41679368,85.06416435,308628,3034089,Schima wallichii,,24,21,3
72,27.41071064,85.05270414,307484,3033433,Shorea robusta,,90,29,1
73,27.41358904,85.05680488,307895,3033746,Terminalia alata,,72,24,4
74,27.41356328,85.06619689,308823,3033728,Trewia nudiflora,,91,16,3
75,27.41216121,85.059336,308142,3033583,Tsuga spp,,56,23,4
76,27.41318155,85.05757477,307970,3033699,Terai spp,,99,28,2
77,27.41549449,85.0593188,308146,3033953,Hill spp,,86,22,4
78,27.41417259,85.06486818,308693,3033798,Abies spp,,84,22,1
79,27.41003256,85.05494674,307705,3033354,Acacia catechu,,56,19,1
80,27.41521954,85.06092959,308305,3033920,Adina cardifolia,,13,18,4
81,27.40841733,85.05653789,307859,3033173,Albizia spp,,60,19,2
82,27.40922059,85.06315845,308515,3033252,Alnus nepalensis,,70,24,2
83,27.41392074,85.06504586,308710,3033770,Anogeissus latifolia,,48,27,4
84,27.41083929,85.05537931,307749,3033443,Bombax ceiba,,61,29,2
85,27.40902917,85.0575954,307965,3033239,Cedrela toona,,39,21,2
86,27.41392523,85.05899081,308111,3033779,Dalbergia sissoo,,61,22,2
87,27.4113628,85.07039779,309235,3033478,Eugenia Jambolana,,28,19,3
88,27.40987713,85.0565947,307867,3033335,Hymenodictyon excelsum,,16,19,3
89,27.41022936,85.06958597,309153,3033354,Lagerstroemia parviflora,,16,22,3
90,27.41566132,85.06422373,308632,3033964,Michelia champaca,,43,26,4
91,27.41854054,85.06292944,308509,3034285,Pinus roxburghii,,48,20,4
92,27.41108219,85.06576281,308776,3033454,Pinus wallichiana,,27,24,2
93,27.41171684,85.07247953,309441,3033514,Quercus spp,,20,23,2
94,27.4116891,85.0634807,308551,3033525,Schima wallichii,,58,17,2
95,27.41401346,85.06123251,308333,3033786,Shorea robusta,,100,24,3
96,27.41203623,85.05805474,308015,3033572,Terminalia alata,,77,22,3
97,27.41361653,85.06200329,308409,3033741,Trewia nudiflora,,69,27,2
98,27.40996543,85.0635669,308557,3033334,Tsuga spp,,25,16,1
99,27.40890783,85.05404581,307614,3033231,Terai spp,,71,20,3
100,27.41405779,85.06249707,308458,3033789,Hill spp,,40,24,1
101,27.40995912,85.07062038,309254,3033322,Abies spp,,36,26,1
102,27.41419815,85.06366037,308573,3033803,Acacia catechu,,36,25,4
103,27.41693926,85.06404357,308616,3034106,Adina cardifolia,,27,16,1
104,27.40958532,85.07073911,309265,3033281,Albizia spp,,48,21,1
105,27.41372269,85.06273104,308481,3033751,Alnus nepalensis,,72,18,4
106,27.41184949,85.05678325,307889,3033553,Anogeissus latifolia,,66,20,2
107,27.4115575,85.06690362,308890,3033505,Bombax ceiba,,81,22,4
108,27.41014671,85.06378928,308579,3033353,Cedrela toona,,45,15,4
109,27.41255248,85.06145376,308352,3033624,Abies spp,,93,23,1
110,27.41132245,85.06904236,309101,3033476,Acacia catechu,,29,22,3
111,27.40884775,85.06873462,309066,3033202,Adina cardifolia,,62,16,1
112,27.41462793,85.06383116,308591,3033850,Albizia spp,,72,15,1
