SN,x,y,species,code,dia_cm,height_m,class
1,308010,3033745,Abies spp,1,87,29,4
2,307412,3033316,Acacia catechu,2,40,26,1
3,309205,3033376,Adina cardifolia,3,51,23,1
4,308920,3033716,Albizia spp,4,45,22,3
5,308570,3033903,Alnus nepalensis,5,86,17,3
6,308778,3033471,Anogeissus latifolia,6,16,26,4
7,308281,3033917,Bombax ceiba,7,31,24,3
8,307641,3033193,Cedrela toona,8,27,18,2
9,308042,3033645,Dalbergia sissoo,9,35,18,1
10,309385,3033431,Eugenia Jambolana,10,36,25,3
11,309204,3033736,Hymenodictyon excelsum,11,89,29,3
12,308993,3033772,Lagerstroemia parviflora,12,93,28,4
13,308392,3033933,Michelia champaca,13,58,22,2
14,308533,3033895,Pinus roxburghii,14,94,26,2
15,308644,3033614,Pinus wallichiana,15,83,29,2
16,309286,3033479,Quercus spp,16,63,25,2
17,308087,3033482,Schima wallichii,17,86,28,1
18,308922,3033444,Shorea robusta,18,72,29,2
19,308964,3033591,Terminalia alata,19,85,17,2
20,307774,3033369,Trewia nudiflora,20,50,25,1
21,308050,3033552,Tsuga spp,21,93,23,4
22,308346,3034162,Terai spp,22,52,30,4
23,309267,3033832,Hill spp,23,79,25,2
24,308020,3033332,Abies spp,1,19,24,3
25,308013,3033320,Acacia catechu,2,79,25,4
26,308045,3033516,Adina cardifolia,3,83,25,3
27,307929,3033234,Albizia spp,4,16,21,2
28,308093,3033610,Alnus nepalensis,5,33,29,2
29,309057,3033264,Anogeissus latifolia,6,29,25,3
30,309187,3033801,Bombax ceiba,7,16,23,1
31,308859,3033424,Cedrela toona,8,98,24,2
32,307696,3033398,Dalbergia sissoo,9,22,23,2
33,308390,3034112,Eugenia Jambolana,10,59,25,4
34,308301,3034120,Hymenodictyon excelsum,11,42,30,1
35,308454,3034104,Lagerstroemia parviflora,12,38,20,2
36,308144,3033613,Michelia champaca,13,15,16,3
37,308822,3033720,Pinus roxburghii,14,63,24,4
38,308631,3033773,Pinus wallichiana,15,99,17,2
39,308591,3033849,Quercus spp,16,13,20,3
40,308390,3033915,Schima wallichii,17,82,16,4
41,307968,3033673,Shorea robusta,18,33,30,4
42,308761,3033276,Terminalia alata,19,85,20,3
43,307715,3033361,Trewia nudiflora,20,49,30,4
44,309444,3033486,Tsuga spp,21,63,23,3
45,307965,3033779,Terai spp,22,68,20,1
46,308198,3034127,Hill spp,23,97,23,1
47,309197,3033844,Abies spp,,25,22,4
48,309033,3033478,Acacia catechu,,67,20,4
49,309109,3033093,Adina cardifolia,,80,15,3
50,307895,3033426,Albizia spp,,53,23,3
51,308565,3033292,Alnus nepalensis,,18,22,1
52,308625,3033549,Anogeissus latifolia,,85,30,3
53,308702,3033848,Bombax ceiba,,13,21,1
54,308594,3033628,Cedrela toona,,81,16,2
55,309246,3033567,Abies spp,,82,17,3
56,309127,3033587,Acacia catechu,,64,21,1
57,309430,3033424,Adina cardifolia,,93,30,2
58,308734,3033387,Albizia spp,,33,23,1
59,308934,3033657,Alnus nepalensis,,62,24,3
60,308474,3034221,Anogeissus latifolia,,30,30,2
61,309029,3033860,Bombax ceiba,,74,19,2
62,309313,3033882,Cedrela toona,,74,29,2
63,308290,3033562,Dalbergia sissoo,,77,27,4
64,308721,3033212,Eugenia Jambolana,,19,15,2
65,307886,3033215,Hymenodictyon excelsum,,48,23,3
66,307534,3033387,Lagerstroemia parviflora,,22,20,2
67,309059,3033587,Michelia champaca,,56,22,3
68,307719,3033378,Pinus roxburghii,,99,20,3
69,307716,3033347,Pinus wallichiana,,66,15,2
70,308328,3033989,Quercus spp,,83,24,4
71,308628,3034089,Schima wallichii,,24,21,3
72,307484,3033433,Shorea robusta,,90,29,1
73,307895,3033746,Terminalia alata,,72,24,4
74,308823,3033728,Trewia nudiflora,,91,16,3
75,308142,3033583,Tsuga spp,,56,23,4
76,307970,3033699,Terai spp,,99,28,2
77,308146,3033953,Hill spp,,86,22,4
78,308693,3033798,Abies spp,,84,22,1
79,307705,3033354,Acacia catechu,,56,19,1
80,308305,3033920,Adina cardifolia,,13,18,4
81,307859,3033173,Albizia spp,,60,19,2
82,308515,3033252,Alnus nepalensis,,70,24,2
83,308710,3033770,Anogeissus latifolia,,48,27,4
84,307749,3033443,Bombax ceiba,,61,29,2
85,307965,3033239,Cedrela toona,,39,21,2
86,308111,3033779,Dalbergia sissoo,,61,22,2
87,309235,3033478,Eugenia Jambolana,,28,19,3
88,307867,3033335,Hymenodictyon excelsum,,16,19,3
89,309153,3033354,Lagerstroemia parviflora,,16,22,3
