latitude,longitude,x,y,Name,species,code,diameter,height_m,class
27.44821559,85.03795157,306091,3037612,Rame kholsa,Abies spp,1,4,29,4
27.44581168,85.04701929,306983,3037331,Rame kholsa,Acacia catechu,2,4,26,1
27.4477172,85.04067193,306359,3037552,Rame kholsa,Adina cardifolia,3,4,23,1
27.44334272,85.04258821,306541,3037064,Rame kholsa,Albizia spp,4,1,22,3
27.44392725,85.04317343,306599,3037128,Rame kholsa,Alnus nepalensis,5,4,17,3
27.44979947,85.0419424,306488,3037781,Rame kholsa,Anogeissus latifolia,6,4,26,4
27.44111046,85.03850325,306133,3036823,Rame kholsa,Bombax ceiba,7,4,24,3
27.4491137,85.04484186,306773,3037700,Rame kholsa,Cedrela toona,8,3,18,2
27.44662976,85.03939703,306231,3037434,Rame kholsa,Dalbergia sissoo,9,3,18,1
27.44794116,85.0447306,306760,3037571,Rame kholsa,Eugenia Jambolana,10,6,25,3
27.44746171,85.03896636,306190,3037527,Rame kholsa,Hymenodictyon excelsum,11,7,29,3
27.4521048,85.04046239,306346,3038039,Rame kholsa,Lagerstroemia parviflora,12,8,28,4
27.4452049,85.03720279,306011,3037279,Rame kholsa,Michelia champaca,13,58,22,2
27.44672532,85.04738635,307021,3037432,Rame kholsa,Pinus roxburghii,14,94,26,2
27.44429271,85.04457079,306738,3037167,Rame kholsa,Pinus wallichiana,15,83,29,2
27.44845856,85.04599326,306886,3037626,Rame kholsa,Quercus spp,16,63,25,2
27.44649824,85.0423475,306522,3037414,Rame kholsa,Schima wallichii,17,86,28,1
27.45148246,85.04139562,306437,3037968,Rame kholsa,Shorea robusta,18,72,29,2
27.44333289,85.04068045,306352,3037066,Rame kholsa,Terminalia alata,19,85,17,2
27.44773263,85.04656727,306942,3037545,Rame kholsa,Trewia nudiflora,20,50,25,1
27.44720885,85.03826526,306120,3037500,Rame kholsa,Tsuga spp,21,93,23,4
27.44516314,85.04286716,306571,3037266,Rame kholsa,Terai spp,22,52,30,4
27.44499655,85.04530384,306812,3037243,Rame kholsa,Hill spp,23,79,25,2
27.44107962,85.03811543,306094,3036821,Rame kholsa,Abies spp,1,19,24,3
27.45105676,85.04436113,306729,3037916,Rame kholsa,Acacia catechu,2,79,25,4
27.44563629,85.04612635,306894,3037313,Rame kholsa,Adina cardifolia,3,83,25,3
27.45131524,85.03944228,306244,3037953,Rame kholsa,Albizia spp,4,16,21,2
27.44937943,85.04260686,306553,3037733,Rame kholsa,Alnus nepalensis,5,33,29,2
27.45441555,85.04394853,306694,3038289,Rame kholsa,Anogeissus latifolia,6,29,25,3
27.45292861,85.04179001,306478,3038128,Rame kholsa,Bombax ceiba,7,16,23,1
27.44156116,85.03897319,306180,3036873,Rame kholsa,Cedrela toona,8,98,24,2
27.44264684,85.03784407,306070,3036995,Rame kholsa,Dalbergia sissoo,9,22,23,2
27.44770893,85.04112788,306404,3037551,Rame kholsa,Eugenia Jambolana,10,59,25,4
27.44337777,85.03859178,306146,3037075,Rame kholsa,Hymenodictyon excelsum,11,42,30,1
27.44004396,85.03772578,306054,3036707,Rame kholsa,Lagerstroemia parviflora,12,38,20,2
27.44948153,85.03816457,306114,3037752,Rame kholsa,Michelia champaca,13,15,16,3
27.45407272,85.0439571,306695,3038251,Rame kholsa,Pinus roxburghii,14,63,24,4
27.44628308,85.0412144,306410,3037392,Rame kholsa,Pinus wallichiana,15,99,17,2
27.45141172,85.04009439,306308,3037962,Rame kholsa,Quercus spp,16,13,20,3
27.44700799,85.04447995,306734,3037468,Rame kholsa,Schima wallichii,17,82,16,4
27.4486653,85.04543857,306832,3037650,Rame kholsa,Shorea robusta,18,33,30,4
27.44988261,85.04601479,306891,3037784,Rame kholsa,Terminalia alata,19,85,20,3
27.44708597,85.0467297,306957,3037473,Rame kholsa,Trewia nudiflora,20,49,30,4
27.44358008,85.04233462,306516,3037091,Rame kholsa,Tsuga spp,21,63,23,3
27.44983722,85.04258087,306551,3037784,Rame kholsa,Terai spp,22,68,20,1
27.44755406,85.04386969,306675,3037529,Rame kholsa,Hill spp,23,97,23,1
27.45027659,85.04312519,306606,3037832,Rame kholsa,Abies spp,,25,22,4
27.44349268,85.04198185,306481,3037082,Rame kholsa,Acacia catechu,,67,20,4
27.44506434,85.03920804,306209,3037260,Rame kholsa,Adina cardifolia,,80,15,3
27.45031323,85.04202444,306497,3037838,Rame kholsa,Albizia spp,,53,23,3
27.44823773,85.0376687,306063,3037615,Rame kholsa,Alnus nepalensis,,18,22,1
27.44812955,85.04672367,306958,3037588,Rame kholsa,Anogeissus latifolia,,85,30,3
27.45437119,85.04305699,306606,3038286,Rame kholsa,Bombax ceiba,,13,21,1
27.4542103,85.0417558,306477,3038270,Rame kholsa,Cedrela toona,,81,16,2
27.4471918,85.04326083,306614,3037490,Rame kholsa,Abies spp,,82,17,3
27.44319367,85.04030212,306314,3037052,Rame kholsa,Acacia catechu,,64,21,1
27.45118246,85.03947773,306247,3037938,Rame kholsa,Adina cardifolia,,93,30,2
27.44812322,85.04206091,306497,3037595,Rame kholsa,Albizia spp,,33,23,1
27.44354631,85.04419166,306699,3037085,Rame kholsa,Alnus nepalensis,,62,24,3
27.44340315,85.03831402,306118,3037078,Rame kholsa,Anogeissus latifolia,,30,30,2
27.44487208,85.03728018,306019,3037242,Rame kholsa,Bombax ceiba,,74,19,2
27.44733649,85.04059224,306350,3037510,Rame kholsa,Cedrela toona,,74,29,2
27.44412388,85.04558842,306839,3037146,Rame kholsa,Dalbergia sissoo,,77,27,4
27.45108189,85.04451012,306744,3037919,Rame kholsa,Eugenia Jambolana,,19,15,2
27.45181701,85.04194926,306492,3038004,Rame kholsa,Hymenodictyon excelsum,,48,23,3
27.4457561,85.04213838,306500,3037333,Rame kholsa,Lagerstroemia parviflora,,22,20,2
27.45039127,85.04438808,306731,3037843,Rame kholsa,Michelia champaca,,56,22,3
27.44933174,85.04300005,306592,3037727,Rame kholsa,Pinus roxburghii,,99,20,3
27.44821513,85.0415381,306445,3037606,Rame kholsa,Pinus wallichiana,,66,15,2
27.44192288,85.03672997,305959,3036916,Rame kholsa,Quercus spp,,83,24,4
27.45312746,85.04118359,306419,3038151,Rame kholsa,Schima wallichii,,24,21,3
27.44662305,85.04440773,306726,3037425,Rame kholsa,Shorea robusta,,90,29,1
27.44875939,85.0436036,306650,3037663,Rame kholsa,Terminalia alata,,72,24,4
27.44802007,85.04657518,306943,3037577,Rame kholsa,Trewia nudiflora,,91,16,3
27.44126491,85.03842696,306126,3036841,Rame kholsa,Tsuga spp,,56,23,4
27.44428086,85.03949512,306236,3037173,Rame kholsa,Terai spp,,99,28,2
27.45185648,85.04281127,306578,3038007,Rame kholsa,Hill spp,,86,22,4
27.45260448,85.04241628,306540,3038091,Rame kholsa,Abies spp,,84,22,1
27.44632859,85.03864094,306156,3037401,Rame kholsa,Acacia catechu,,56,19,1
27.4537598,85.04233,306533,3038219,Rame kholsa,Adina cardifolia,,13,18,4
27.45100469,85.03930602,306230,3037919,Rame kholsa,Albizia spp,,60,19,2
27.44877113,85.044879,306777,3037662,Rame kholsa,Alnus nepalensis,,70,24,2
27.44668361,85.04302219,306589,3037434,Rame kholsa,Anogeissus latifolia,,48,27,4
27.44584373,85.038867,306177,3037347,Rame kholsa,Bombax ceiba,,61,29,2
27.44713685,85.04731887,307015,3037478,Rame kholsa,Cedrela toona,,39,21,2
27.44692424,85.04511816,306797,3037457,Rame kholsa,Dalbergia sissoo,,61,22,2
27.44568273,85.04619712,306901,3037318,Rame kholsa,Eugenia Jambolana,,28,19,3
