Point No,Type,Block No,Block Name,Longitude,Latitude,Easting UTM,Northing UTM,UTM Zone,Azimuth (deg),Distance (m),Elevation (m),Verified,Remarks
P1,vertex,1,Block 1,85.0616651,27.4187250,308383.96,3034307.19,45,103.51,20.00,584.00,No,
P2,interpolated,1,Block 1,85.0618622,27.4186830,308403.38,3034302.23,45,103.51,17.20,584.00,No,
P3,vertex,2,Block 2,85.0620316,27.4186469,308420.06,3034297.97,45,92.88,20.00,585.00,No,
P4,interpolated,2,Block 2,85.0622340,27.4186379,308440.06,3034296.66,45,92.88,8.98,593.00,No,
P5,vertex,1,Block 1,85.0623248,27.4186338,308449.03,3034296.07,45,91.92,20.00,593.00,No,
P6,interpolated,2,Block 2,85.0625273,27.4186278,308469.04,3034295.09,45,91.92,20.00,601.00,No,
P7,interpolated,1,Block 1,85.0627299,27.4186217,308489.07,3034294.10,45,91.92,3.43,601.00,No,
P8,vertex,2,Block 2,85.0627646,27.4186207,308492.50,3034293.94,45,87.41,20.00,608.00,No,
P9,interpolated,1,Block 1,85.0629670,27.4186288,308512.52,3034294.52,45,87.41,11.87,608.00,No,
P10,vertex,1,Block 1,85.0630871,27.4186336,308524.41,3034294.87,45,79.17,20.00,615.00,No,
P11,interpolated,1,Block 1,85.0632861,27.4186674,308544.14,3034298.31,45,79.17,7.82,624.00,No,
P12,vertex,,,85.0633640,27.4186806,308551.87,3034299.65,45,145.02,20.00,624.00,No,
P13,interpolated,1,Block 1,85.0634801,27.4185332,308563.09,3034283.14,45,145.02,20.00,621.00,No,
P14,interpolated,,,85.0635963,27.4183859,308574.33,3034266.64,45,145.02,20.00,623.00,No,
P15,interpolated,1,Block 1,85.0637124,27.4182385,308585.55,3034250.13,45,145.02,20.00,619.00,No,
P16,interpolated,1,Block 1,85.0638286,27.4180911,308596.79,3034233.62,45,145.02,20.00,626.00,No,
P17,interpolated,,,85.0639448,27.4179437,308608.02,3034217.11,45,145.02,20.00,626.00,No,
P18,interpolated,1,Block 1,85.0640609,27.4177963,308619.25,3034200.60,45,145.02,5.66,628.00,No,
P19,vertex,1,Block 1,85.0640938,27.4177546,308622.43,3034195.93,45,171.88,20.00,633.00,No,
P20,interpolated,,,85.0641224,27.4175766,308624.95,3034176.16,45,171.88,20.00,633.00,No,
P21,interpolated,1,Block 1,85.0641510,27.4173985,308627.47,3034156.38,45,171.88,20.00,630.00,No,
P22,interpolated,1,Block 1,85.0641796,27.4172205,308629.99,3034136.62,45,171.88,20.00,627.00,No,
P23,interpolated,1,Block 1,85.0642082,27.4170424,308632.51,3034116.84,45,171.88,20.00,627.00,No,
P24,interpolated,1,Block 1,85.0642368,27.4168643,308635.03,3034097.06,45,171.88,20.00,630.00,No,
